fog,rain,snow,snowfalli,snowdepthi,hail,thunder,tornado,meantempi,meandewpti,meanpressurei,meanwindspdi,meanwdire,meanwdird,meanvisi,humidity,maxtempi,mintempi,maxhumidity,minhumidity,maxdewpti,mindewpti,maxpressurei,minpressurei,maxwspdi,minwspdi,maxvisi,minvisi,precipi,danger_level
0,0,0,0,0,0,0,0,69,53,29.9,4,0,248,10,0,75,63,75,40,55,49,29.93,29.86,8,0,10,10,0,Small danger
0,0,0,0,0,0,0,0,48,33,30.23,3,0,341,10,0,61,37,87,29,37,25,30.31,30.16,13,0,10,10,0,High danger
0,0,0,0,0,0,0,0,60,49,30.01,4,0,159,10,0,69,53,83,49,51,47,30.09,29.96,8,0,10,10,0,Mid danger
0,0,0,0,0,0,0,0,42,36,30.36,4,0,138,9,0,44,39,87,71,37,34,30.4,30.3,8,0,10,4,0,Small danger
0,0,0,0,0,0,0,0,58,49,29.89,5,0,298,10,0,64,53,83,63,55,47,29.94,29.85,12,0,10,10,0.02,High danger
0,1,0,0,0,0,0,0,52,45,29.85,10,0,164,10,0,57,45,90,62,50,41,29.97,29.65,15,6,10,7,0.03,Mid danger
0,1,0,0,0,0,0,0,41,37,30.06,5,0,139,9,0,45,37,93,76,39,35,30.17,29.85,8,0,10,5,0.08,Mid danger
0,0,0,0,0,0,0,0,49,38,29.79,7,0,175,10,0,55,44,86,41,42,31,29.83,29.73,14,0,10,10,0,Mid danger
0,1,1,0,0,0,0,0,37,33,29.64,11,0,168,8,0,43,33,100,70,36,32,29.88,29.4,24,0,10,2,0.23,Mid danger
1,1,0,0,0,0,0,0,42,36,30.02,4,0,143,7,0,53,30,100,47,43,30,30.32,29.83,15,0,10,0,0.42,High danger
0,0,0,0,0,0,0,0,60,48,30.03,8,0,179,10,0,66,53,77,54,50,46,30.11,29.92,10,0,10,10,0,Small danger
0,0,0,0,0,0,0,0,62,52,30.05,3,0,184,10,0,71,55,88,57,54,51,30.08,30.02,7,0,10,10,0,Mid danger
0,0,0,0,0,0,0,0,40,33,30.44,2,0,70,10,0,46,34,93,58,36,30,30.47,30.37,7,0,10,7,0,Small danger
0,1,0,0,0,0,0,0,47,40,29.63,4,0,180,10,0,53,42,93,68,43,36,29.86,29.53,13,0,10,10,0.01,Mid danger
0,0,0,0,0,0,0,0,64,45,30.34,3,0,333,10,0,75,55,74,29,50,40,30.41,30.26,9,0,10,10,0,High danger
0,1,0,0,0,0,0,0,52,47,30.1,6,0,156,6,0,55,50,88,80,49,45,30.29,29.98,10,0,10,2,0.02,Small danger
0,1,0,0,0,0,0,0,56,49,30,2,0,155,9,0,59,54,94,53,55,41,30.03,29.94,7,0,10,4,0.16,Mid danger
0,0,0,0,0,0,0,0,72,56,30,3,0,316,10,0,81,62,81,38,59,52,30.04,29.96,10,0,10,10,0,High danger
0,0,0,0,0,0,0,0,39,31,30.13,1,0,141,8,0,48,30,86,54,36,25,30.18,30.09,6,0,10,5,0,Small danger
